,title,year,certificate,time,genre,rating,metascore,simple_desc,votes
0,"4.
Warrior
(2011)",(2011),PG-13,140 min,"Action, Drama, Sport",8.2,"71        
        Metascore","The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.","Votes:
472,599
| Gross:
$13.66M"
1,"5.
Bacheha-Ye aseman
(1997)",(1997),PG,89 min,"Drama, Family, Sport",8.2,"77        
        Metascore","After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.","Votes:
75,246
| Gross:
$0.93M"
2,"6.
Raging Bull
(1980)",(1980),12,129 min,"Biography, Drama, Sport",8.2,"89        
        Metascore","The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.","Votes:
354,382
| Gross:
$23.38M"
3,"7.
Rush
(I) (2013)",(I) (2013),R,123 min,"Action, Biography, Drama",8.1,"74        
        Metascore",The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,"Votes:
479,871
| Gross:
$26.95M"
4,"8.
Ford v Ferrari
(2019)",(2019),PG-13,152 min,"Action, Biography, Drama",8.1,"81        
        Metascore",American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,"Votes:
391,169
| Gross:
$117.62M"
5,"10.
Million Dollar Baby
(2004)",(2004),PG-13,132 min,"Drama, Sport",8.1,"86        
        Metascore",A determined woman works with a hardened boxing trainer to become a professional.,"Votes:
686,942
| Gross:
$100.49M"
6,"11.
Lagaan: Once Upon a Time in India
(2001)",(2001),PG,224 min,"Drama, Musical, Sport",8.1,"84        
        Metascore",The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,"Votes:
114,921
| Gross:
$0.07M"
7,"13.
Cinderella Man
(2005)",(2005),PG-13,144 min,"Biography, Drama, Romance",8.0,"69        
        Metascore","The story of James J. Braddock, a supposedly washed-up boxer who came back to challenge for the heavyweight championship of the world.","Votes:
188,819
| Gross:
$61.65M"
8,"16.
The Wrestler
(2008)",(2008),R,109 min,"Drama, Sport",7.9,"80        
        Metascore","A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle.","Votes:
307,051
| Gross:
$26.24M"
9,"18.
The Fighter
(I) (2010)",(I) (2010),R,116 min,"Action, Biography, Drama",7.8,"79        
        Metascore","Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.","Votes:
368,860
| Gross:
$93.62M"
10,"19.
The World's Fastest Indian
(2005)",(2005),PG-13,127 min,"Biography, Drama, Sport",7.8,"68        
        Metascore","The story of New Zealander Burt Munro, who spent years rebuilding a 1920 Indian motorcycle, which helped him set the land speed world record at Utah's Bonneville Salt Flats in 1967.","Votes:
55,434
| Gross:
$5.13M"
11,"20.
Remember the Titans
(2000)",(2000),G,113 min,"Biography, Drama, Sport",7.8,"48        
        Metascore",The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.,"Votes:
216,667
| Gross:
$115.65M"
12,"21.
The Sandlot
(1993)",(1993),PG,101 min,"Comedy, Drama, Family",7.8,"55        
        Metascore","In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures.","Votes:
93,211
| Gross:
$32.42M"
13,"22.
Creed
(II) (2015)",(II) (2015),PG-13,133 min,"Action, Drama, Sport",7.6,"82        
        Metascore","The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.","Votes:
274,873
| Gross:
$109.77M"
14,"23.
Moneyball
(2011)",(2011),PG-13,133 min,"Biography, Drama, Sport",7.6,"87        
        Metascore",Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,"Votes:
423,938
| Gross:
$75.61M"
15,"24.
The Blind Side
(2009)",(2009),PG-13,129 min,"Biography, Drama, Sport",7.6,"53        
        Metascore","The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family.","Votes:
333,052
| Gross:
$255.96M"
16,"25.
The Hurricane
(1999)",(1999),R,146 min,"Biography, Drama, Sport",7.6,"74        
        Metascore","The story of Rubin 'Hurricane' Carter, a boxer wrongly imprisoned for murder, and the people who aided in his fight to prove his innocence.","Votes:
97,828
| Gross:
$50.67M"
17,"26.
King Richard
(2021)",(2021),PG-13,144 min,"Biography, Drama, Sport",7.5,"76        
        Metascore",A look at how tennis superstars Venus and Serena Williams became who they are after the coaching from their father Richard Williams.,"Votes:
112,220"
18,"27.
Waves
(I) (2019)",(I) (2019),R,135 min,"Drama, Romance, Sport",7.5,"80        
        Metascore","Traces the journey of a suburban family - led by a well-intentioned but domineering father - as they navigate love, forgiveness, and coming together in the aftermath of a loss.","Votes:
26,032"
19,"29.
I, Tonya
(2017)",(2017),R,119 min,"Biography, Comedy, Drama",7.5,"77        
        Metascore","Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the activity is thrown into doubt when her ex-husband intervenes.","Votes:
216,580
| Gross:
$30.01M"
20,"30.
The Art of Racing in the Rain
(2019)",(2019),PG,109 min,"Comedy, Drama, Romance",7.5,"43        
        Metascore","Through his bond with his owner, aspiring Formula One race car driver Denny, golden retriever Enzo learns that the techniques needed on the racetrack can also be used to successfully navigate the journey of life.","Votes:
32,136
| Gross:
$25.50M"
21,"31.
The Damned United
(2009)",(2009),R,98 min,"Biography, Drama, Sport",7.5,"81        
        Metascore",The story of the controversial Brian Clough's 44-day reign as the coach of the English football club Leeds United.,"Votes:
44,283
| Gross:
$0.45M"
22,"32.
42
(2013)",(2013),PG-13,128 min,"Biography, Drama, Sport",7.5,"62        
        Metascore","In 1947, Jackie Robinson becomes the first African-American to play in Major League Baseball in the modern era when he was signed by the Brooklyn Dodgers and faces considerable racism in the process.","Votes:
96,084
| Gross:
$95.00M"
23,"33.
Rudy
(1993)",(1993),PG,114 min,"Biography, Drama, Sport",7.5,"71        
        Metascore",Rudy has always been told that he was too small to play college football. But he is determined to overcome the odds and fulfill his dream of playing for Notre Dame.,"Votes:
64,385
| Gross:
$22.75M"
24,"35.
Le grand bleu
(1988)",(1988),PG,168 min,"Adventure, Drama, Sport",7.5,"35        
        Metascore","The rivalry between Enzo and Jacques, two childhood friends and now world-renowned free divers, becomes a beautiful and perilous journey into oneself and the unknown.","Votes:
52,129
| Gross:
$3.50M"
25,"36.
Molly's Game
(2017)",(2017),R,140 min,"Biography, Crime, Drama",7.4,"71        
        Metascore","The true story of Molly Bloom, an Olympic-class skier who ran the world's most exclusive high-stakes poker game and became an FBI target.","Votes:
172,989
| Gross:
$28.78M"
